,Review
320,"I had been looking everywhere for an unlocked iPhone 11 but they were hard to find. The refurbished price was about $800, unless I wanted to risk eBay. This was such a great deal and the phone works perfectly. It came in 4 days, was packaged carefully, and no problems at all."
321,I went to the store to get this phone set up twice and both times they said it wasn’t fully unlocked.
322,"Phone works great but it has some minor scratches and an unfortunate ding on the bottom. Not too big of a deal for a refurbished phone. But the final price of $500 is a bit high for a used phone. I only got this one due to it being a lot faster than waiting for new ones to be in stock, if they even still make them."
323,"Value for the money, it had a couple of scratches in the back but barely noticeable otherwise the phone runs good fully unlocked looks almost like new . The only complain I have about this phone is that the charger that comes with it, is not an Apple charger is just those cheap chargers you could buy at the dollar store. it does charge with it, but be ready to buy a new one soon after"
324,Didn’t come in original apple box and definitely not an apple charger. Micro scratches all over screen but barely noticeable until in light. Didn’t come with SIM card extracter but a paper clip works fine. Other than that it works great😄
325,"It’s not bad for a refurbished phone however, I would call this grade B refurbished. Most refurbished items I buy come from Walmart and I never have a problem. They always seem to be in perfect condition. It did come with a tempered glass which was a plus but when I went to put it on I immediately noticed lots of scratches on the screen. I’m assuming the screen was never replaced. The battery life is at 90% which means they don’t replace the batteries either. I’m a little disappointed with my experience because I’ve never had this happen before. I recommend if you are wanting something more “new” like because this is DEFINITELY in used condition."
326,"Phone was advertised as a renewed i-Phone 11, T-Mobile. It is in great condition, but was locked and not compatible with T-Mobile. Very disappointed in the false advertising."
327,Arrived well packaged with charger. Looked brand new--not a mark on it. Worked perfectly from the get go and a month later no issues or glitches. Teenage granddaughter is on it constantly and no complaints about battery life. Would definitely buy agsin.
328,"El celular vino como nuevo con 100% de batería, ya anteriormente había comprado un IPhone XR para mí, este es para mi pareja y vino mucho mejor que el mío, lo recomiendo completamente o simplemente tuve suerte con ambos, los celulares son desbloqueados ya que son usados en Panama donde vivo."
329,"I purchased this phone as a xmas gift for my granddaughter.  Looked great, worked etc.  This week without being dropped, wet, or anything suddenly the battery literally swelled which caused the face of the phone to fall off.  Per phone store will cost over $200 to replace.  Not happy with this.  Attempting to contact seller."
330,"The media could not be loaded.
                




   Love the color , and it’s working as new ."
331,"Mine came with a glass screen protector attached, so I think I got a returned phone, but I didn’t mind. There were no scratches on the phone anywhere, so it was basically a free screen protector.Otherwise, it’s a great phone and this refurbished model works like new."
332,"Considering the number of reviews of many internet items being way off the mark regarding condition I was pleasantly surprised, when I opened the package to find the the phone, in what i consider, to be in perfect condition  - the phone is virtually unmarked with no scratches or blemishes , and everything functions as per the factory specs. I would definitely buy again from this seller and recommend to other potential buyers.For a quality item with a reasonable price and fast shipping, I would rate this transaction  A+"
333,The phone came in defected when the volume adjust itself. I put the volume up for incoming calls and it does whatever it wants sometimes it rings high other times it rings really low and other times it rings ones then turns silent.  I’m so angry cuz it was used and payed full price and it doesn’t even work correctly.
334,"Worked as advertised.  As a refurbished iPhone, you are always worried that it may not work as well as a new iPhone.  I have been pleasantly surprised with the overall condition and performance of the device.  The savings and the warranty were attractive enough for me to take the risk.  Based on my experience so far, I would do it again."
335,Pice of junk I want my money back for this pice of junk iPhone
336,after I started using in  2 weeks later the phone stop responding to touch and phone goes black while on the phone and will not respond .apple support will not fix the problem they told me the phone is out of warranty
337,"They make it seem like this will work like a brand new phone, but it seems like they just sell your someone’s old broken one wo fixing it. Dropped calls, no internet, can’t hear, alllll the things. After shelling out $600 I did not expect that from my phone."
338,Good
339,"Cons: degraded batter life (not renewed or refurbished)Pros: cosmetically perfect, in working condition, screen protector. The only factors saving it from a much harsher review."
340,"Great phone, could not tell it was refurbished, came with a screen protector on it. The only bummer is that it did not come with ear pods but I noticed Apple is no longer giving those out either, so it's all good! It turned out to $40 cheaper than a new phone, and with some Amazon credits I had I would up getting a $600 phone for about $420, go refurb!"
341,"There are a lot of scraches on the phone case, and small scraches on the screen, actually a lot, but screen is generally fine.(Only part I'm satisfied is screen)I dont care about scraches, but battery life is abslutely unacceptable.You only give me 1% battery life with 19% already lost to have to change to another battery?if 85%, 87% is worst situation but I can accept, but 81%, seriously?Since it's a gift I gave to a friend in Spain, I'm not gonna return it,but it's very disappointing the battery life, and the case also exaggeratingly scrached."
342,It one of my best purchases ever!! it came in a box and it looked like new. I couldn't find any scratches even being used. It came with a compatible charger and the key to open the sim card compartment. It works amazingly. Totally recommended!
343,"The phone's touch screen completely non-functional out of the box. There were no cracks but since the device didn't register any touch, I was never able to get past the initial setup screen (even after restarts). In their defense, they did offer a refund though unfortunately I was too busy to send it in time. I'm not saying all of their phones come broken but I figure it's worth mentioning that mine was."
344,Product came in earlier than expected. These iPhones are good as new and I recommend these to anyone looking to purchase an iPhone. I bought 1 for myself and another for my girlfriend and they were both beautiful and in perfect condition. I was also pleased to see that both came with a screen protector installed. I am very satisfied with this product and I suggest this product to anybody looking to get a basically brand new iPhone for a better price.
345,"La verdad que al ser un telefono renovado pude recuperar toda la informacion de otro iphone lo que es genial aun no puedo hablar de la bateria lo estoy cargando, venia cin algunos raspones pero con una proteccion no se notaran, por el momento estoy feliz, dire algo mas cuando lo prube mas dias  funciona muy bien en chile"
346,Phone as described I definitely recommend this product no noticeable dents or scratches on the screen. Does show wear but only when closely inspected not just from looking at the phone. So far it’s good this is my first day using the device so if anything changes I’ll update my review.
347,"The first phone i received looks great, but had countless issues. The ""i"" key wouldnt work, the phone wouldnt charge intermittently, the screen would freeze every few hours. Very annoying issues. Decided to get a replacement and the shipment has been delayed 3x now. Will be sending this one back and be out of a phone for at least a week. Will report back when I get the replacement. My family has bought refurbished phones multiple times with no issue, but I had to write an honest review so far."
348,This phone crashes multiple times a day. I’ve had it for less than a year and it’s already severely malfunctioning. It needs to be rebooted multiple times a day for it to even make a call. Definitely a bad product sold by the seller.
349,At first I was hesitant to buy an iPhone over the Internet but to my amazement this is one of the best purchases I’ve ever made.  Phone looks brand new no scratches no dents everything works flawlessly.  I bought the iPhone 11 in purple and I can’t believe all the things it does compared to my iPhone 7.  Stop searching you’ve found your new iPhone from this company!!
350,"Great value, screen sometimes doesn’t want to operate like it freezes up sometimes and I have to close out of the app I was in or sometimes it’s slow a little but I can live with it. Everything is in perfect working order and screen is in great condition came with a screen protector. Awesome phone, wish the battery life was a little longer though, last maybe two-three hours using it. Checking my phone and going on every now and then last about ten hours, so not too bad."
351,"I've had the phone for about 16 hours.  Nothing but trouble right from the start.  It keeps restarting itself and shutting the screen off randomly.  I spent over an hour troubleshooting with Apple. They said that it's probably bad software.  I'm sure iPhone 11s are great, just don't waste your money buying it from Amazon.  Buy refurbished directly from Apple.  That way you have options if it doesn't work (other than wasting your time returning it.)"
352,I love my new iphone! The video quality is so good and there are so many accessories that i can get to go with it. People can't believe i shoot all my IG content on this phone or how fast I produce the content. Between the audio accessories I bought and music features on garageband I shoot and edit right in Imovie which has green screen features now and export so quickly. I even shot a music video in my GARAGE that no one believed was actually my garage because Imovie did such a dope job with it's green screen. Highly recommend especially for this refurbished price.
353,Overall the phone is nice but little things like me constantly getting notifications because the screen was repaired not at an apple facility or my AirPods breaking up and disconnecting constantly (when they are new and it worked just fine on my old phone) those things annoy me anything else is fine
354,THIS PHONE IS LOCKED !!!!!! do not buy from this person i’m not satisfied
355,AT&T turned off my service because phone reported stolen. Now wife had to go back to her old phone. I have to go to buy new phone now. Can’t believe Amazon sell stolen property.
356,I was skeptical getting the phone but for the price it works perfectly it does everything an apple product is supposed to. Now it didn’t come in the original packaging which I didn’t mind. And the charging cable is long which I find a bonus. Overall I love it
357,"The best phone for the BEST price, BuySpry really did it again. Second time buying from them and honestly they did not disappoint. Battery life is at 100% health, screen, body of the phone are completely unharmed as if I had just bought it straight from apple. Also, it even came with tempered glass already on the screen which is an added plus!! I'm so so happy I purchased my phone here."
358,"Bought this unlocked iPhone with skepticism after reading the reviews. The phone looks like brand new, no scratches. Bought a SIM card from my phone carrier and so far has met my expectations. I only charge it once a day which is great, compared to the other iPhones I had. Purple color is beautiful, looks more like lavender. Amazon customer tech support was very helpful and even connected me with Apple support to obtain help with the data transfer from my old phone. A great buy at a reasonable price!"
359,"I was hesitant to get a ""renewed"" phone, but it has worked just as well as advertised.  I'm very happy with it and would renewed again."
360,"The media could not be loaded.
                




   It’s a good phone but the reason why I give it 4 stars is because I had to unlocked the FaceTime and imessages ( from turning green ) on. If have any of those difficulties please contact apple right away and they’ll help you. You’ll thank me in the future. 💯if you notice , the purple phone always tends to work better than the other colors phone by looking at these reviews."
361,Llego pronto.en buenas condiciones
362,"This phone appears to work well, but I was quite disappointed by the appearance. The screen and phone case are very scratched up. If I didn't need a phone immediately I would have sent it back. REally expected a nicer looking phone."
363,"I chose this seller because of 100% positive feedback but my phone is not compatible with the carrier it was sold as being exclusively for. When I tried to activate the phone I found out it is incompatible with my AT&T SIM card. I spent 2 hours on chat with support but they were just talking in circles and I was never convinced they even understood the problem. If someone pays almost $500 for an item, it should be as described. Further, there was extensive cosmetic damage. I honestly would've overlooked the damage if the phone had actually worked."
364,"The media could not be loaded.
                




   I knew it was a shot in the dark ordering. When phone arrived. Looked okay. Had lots of scratches and the back camera was chipped. When trying to set up the phone, would not update to the latest IOS. Would not let you skip around. Gave option to return in exchange for new phone. Hope that one is functioning."
365,My husband is not very techie.  He only wants a phone that works and did not want to pay a high price for a new IPhone.  The warranty is good on this and he is just fine with a refurbished one.
366,"Fast shipping works just like new no scratches or anything in particular so far so good,I recently bought (2) from different sellers and I had to send it back within days.,fingers cross I would recommend it to anyone who has problems like me in the past with others sellers this renewed are basically new ones 👍"
367,"When I was looking for a new phone, I didn’t care that it was renewed. I’ve never had problems with renewed phones. So I came here first. I saw so many misleading things about these phones. But I made the purchase anyway. The phone came with 97% battery life, no scratches, no dents, and it was completely unlocked. Basically brand new. And I LOVE IT. I nervously waited for the package. And when i finally got it and everything was perfectly fine with it. I was amazed. So many people had said, so many misleading things. But truth is? IT AMAZING. GO FOR IT!"
368,My phone arrived earlier than expected.  I am almost 82 and I was able ON MY OWN set up the new phone and transfer all the data from my older phone to the new.  I'm very happy with my Iphone 11
369,I wasn’t sure that I wanted to change phones but this iphone11 is a dream. I didn’t realize how good it would be and I am now an iPhone lover. The seller was super.
370,My Face ID didn’t work. My front portrait mode doesn’t work They offered to replace but I would have had to send the whole phone back in order to replace which would’ve left me with no phone until they decided rather on rather not they would fix/replace it . So sad such a bummer not having Face ID
371,I know it was a renewed phone but for the money you still expect a decent phone. This one was full with small scratches on the back and even two bigger ones in the front…I sent it back immediately…
372,"I bought the phone for my 16yr old daughter she loves the phone, we ask for yellow they ran out, but he made sure to call me and ask what else color so my daughter pick green, it’s cute minor scratches but nothing serious. It’s fully unlocked and works perfectly.. this is the 3rd One I have purchase through this seller never disappointed."
373,"96% battery. no scratches on the screen, side or back. Face ID works well and camera is perfect. The phone came in 4 days. It also came with a charger and charger box. 3months later and my phone is still working fine, will update at 6 months."
374,"Had to immediately have battery replaced and now have to go get whole thing fixed as it keeps just shutting off.  Amazon is reimbursing for charges to get it fixed, but what a pain! I use my phone for work and this has been a big hassle.  Very disappointed"
375,"Purchased this phone for relative who was leaving the country and needed an unlocked phone while traveling overseas. It was shipped fast, arrived on time but was very disappointing  to see very clear signs of wear and tear. The phone had scratches everywhere, which you would expect since it wasn’t new but a huge scratch on the top right side of the screen was shocking. The phone actually looked like it had been abused. I wanted to return it but couldn’t because the person whom it was for had to leave the country the next day."
376,"When I got the the phone i was able to put my iCloud on and everything else but when I put in a SIM card it would not read my data, took it to the T-Mobile store and the IMEI on the phone was locked meaning the person who had it before did not pay off the phone and the provider locked the IMEI and the phone can only be used on wifi."
377,I was realllllyyyy scared to purchase a phone off of Amazon at first. I had it in my cart for days but I’m glad I decided to go ahead and purchase this. I’ve been having the phone for over 6 months and have had 0 problems. I was able to activate it with my phone provider with no issues as well. No regrets at all.
378,phone was great com card would fit in com card tray had to return so far have not received A refund Will not re-order until I receive a refund the phone itself looked great but was of no value if you cannot use it as a telephone patiently waiting for a refund
379,"Perfect product! I was a little worried when first buying this product due to it being refurbished but it works great just like brand new! Not one scratch or mark and if your has one on it, it possibly could have came from the delivery truck or processor rather than the manufacturer. I’m very pleased with this purchase and I would recommend this product to anyone who does not want to spend 1,000 just on a phone."
380,"Do not buy, this phone is a junk.Mine arrived with a bad screen installed."
381,"I don’t really know why,  but when my IPhone 7 Plus started giving me trouble and I needed a new phone, I let someone talk me into trying an android. 2 weeks later I returned the android. I love my IPhones too much! This IPhone 11 is so nice. I absolutely love the face recognition. I bought the yellow and it is so pretty. The size is perfect!"
382,"You Might be skeptical of getting a renewed phone, but so far mine has had no noticeable issues or differences from a brand new one. Even physically, it was flawless; no scratches on the screen or dents or anythin. As far as I’m concerned, I basically got a new IPhone for 100 dollars off so I’m pretty happy with it."
383,"I can not coment on the actual performance, except to say that If you are an Apple user this is a good choice. My friend did not like the xr. This one has huge storage capacity, retina display, and there are plenty of accessory items available."
384,I have yet to be disappointed with this phone!!! Yes... took me a minute to get used to the phone/screen size comparing an iPhone 7 but hands down... Good job Apple and good job Amazon for a clean... refurbished product that works so flush 👌🏼The data transfer via Cloud was super fast and easy. Probably the best I’ve dealt with yet.Screen resolution... keyboard tranquility... overall battery & performance?? Forget about it... because this device has it all !!!!
385,"Super skeptical after the 1 star reviews, but hey 90 Amazon money back I figure what the heck. Great product basically new batter capacity is 100% no problems with the phone. I got a t mobile specific phone swapped the sim and off I went. Nice product"
386,"Phone arrived quickly, it looked brand new. It even had a screen protector and AppleCare for the next 6 months which we didn’t know we were getting either. Also, the charger it came with looks to be a fast charger and it does charge the phone super fast. The only con is that the battery life is already at 86, but that is expected considering it’s refurbished. We were a little hesitant considering there wasn’t too many reviews, but so far we are extremely happy with the product. We will buy from seller again in the future."
387,"I recommend to anyone who is going to invest their money in this not to buy it, they are not supposed to sell damaged things, buy one of these and it would turn on and off by itself, so it is useless to sell something damaged"
388,"I ordered this phone because I was due for a new one, and I needed more storage space. I came across this one and I thought it was a great deal but was nervous about it being renewed. I read all the reviews and the only doubts I had was when the battery life wasn’t at 100%, with the phone being renewed, it states very clearly that it wouldn’t come in the original Apple box or the Apple charger and cube. So when the reviews were bad about that, it was clear they didn’t read the complete description. I went ahead and purchased and was very pleased with it! The phone came with 100% battery life, the screen was perfect, and I was overall very pleased! I highly recommend this phone and company!"
389,"It was working fine battery life was more than anticipated at 96 instead of the advertised 85-90 I believe, but after about 40 days the phone would restart like it had no battery left even though it was at 100% or while it was charging. Everything else was fine and id probably still buy another phone from the company."
390,"Decided to go the refurbished route after buying new phones up to this point. I am very pleased with the phone (iPhone 11 128gb). It looks and performs like a new phone, for a significant savings. The battery health is at 85%, but that is more than enough to last a full day and then some."
391,"The phone arrived ahead of schedule, but it was immediately and clearly obvious that one of the rear camera lenses was cracked in multiple places (which was helpfully covered by a gross dirt-streaked sticker). The seller's ""certified"" / ""renewed"" product label is dubious, at best. Here's to hoping that their returns process works better than the eyesight of whoever ""certifies"" their phones..."
392,"Phone came on good started up fine after a few hours of usage the entire screen had horizontal lines and battery life was on 87 percent on it, didn’t fall or anything like that lines just appeared don’t waste your time buying this phone very bad service"
393,"I just messaged the seller, and hoping to hear from them soon.The phone came super quick, which is amazing. I was able to figure out how to transfer my info super fast and I was happy to be saving money and causing less damage to the planet. However, the camera must be damaged as it takes pictures with a dark spot in the picture. And now the keyboard is lagging. I hope they are able to work with me to either send me another one or fix this one."
394,the entire phone it was broke and was scratched up bad when i got it
395,"I just received this phone today for my daughter and their are no scratches and everything went smoothly with transferring her old phone to that one but 3 hours later it started glitching. I tried to turn it off but it wouldn’t even do that. We tried for about 10 minutes then just gave up. When came back to it about 3 minutes later, it was fine. So I will be keeping a eye on it and let you know the updates tomorrow"
396,"In good condition. No scratches, came with a screen protector.The only problem is that it has turned off a couple of times when I least expect it after having it less than a month, it turns right back on, but it is a major inconvenience. I had to find a repair shop near me to fix it. Since I use my phone for work, I cannot be without one. I contacted the seller and was only refunded $20 (I kept the phone for my work)I recommend that if you do get a used phone, to double-check everything before getting rid of your old one."
397,Excuse my nails lol but it works good as you can tell im using it I had the xs and been wanting the 11 it is a tiny bit bigger I love the color. Not a scratch nor nothing on here nor dirty I would say it’s straight out the original box im satisfied with my purchase and the switch to metro was easy
398,"I ordered the iPhone 11 64 gb tied to my carrier which is AT&T. I’m honestly shocked at what great condition the phone is in locks practically new no scuffs or scratches on the screen or anywhere on the body of the phone. I just popped my SIM card out of my old phone and into this one everything seems to be In working order. Very happy with the purchase face recognition works great, camera’s work great, battery life solid. I was pleasantly surprised."
399,We thought it worked cause it turned on and we transferred data. It gets hot and turns off completely during calls or texting and also when I’m not even using it I can see it turn on and off. Setup the facial recognition but since it turns off so much it always needs the manual code. Definitely requesting a return.
400,"As always, I was a bit skeptical about ordering a $800 phone off amazon but I’m so glad I did. It even came with a screen protector and it came brand new, only a tiny scratch on the screen protector but other then that the phone was spotless. So happy with what I got and happy it saved me a couple $100. The phone also came unlocked and had no trouble switching it over to my network. 10/10!"
401,The accessory came with this phone is very cheap made in China type.Also the box.. I don't recommend this at all.
402,I won hundred percent absolutely love my phone it came with a good battery no nicks no dings no scratches just a perfect phone camera is great have no issues with my phone delivery was smooth transfer was smooth absolutely would buy another phone from this company
403,Ordered this phone for my mom. Shes replacing an iphone 6s.  Transferred everything over bluetooth in minutes. Had the phone up and running in less than 10 minutes. Phone came clean and polished. No scratches or defects. Battery was charged at 65%.  Inserted the Mint Mobile sim card and within seconds we could receive texts and calls. Everything works perfect
404,I was skeptical to order a phone from Amazon but I was pleasantly surprised. I ordered Prime and it arrived even earlier than it said. The phone looked absolutely brand new with one very minor scratch you can only see if you examine really close. I would buy again. Came with 90% battery health
405,Do not buy.There is a three month warranty which ended three days ago and now the phone stopped working.It didn't last!It's a dud!
406,Screen had black spot lower right corner. SIM card port didn’t work verified by apple support. Apple support was the one who urged me to get a refund or exchange. 70 dollars more for a brand new iPhone will save you a lot of headache.
407,Everything on the outside of this phone was just okay until I switched it ON and used it for a couple hours. This cellphone couldn't stay ON for longer than 30 minutes and kept restarting/booting itself repeatedly. The operating system was stuck on the oldest version and refused to accept any updates. Complete LEMON! Avoid this seller at all costs!
408,I’ve had this phone for 3months and it has started to glitch and freeze. Buy the warranty package. I purchased another phone with the warranty protection package and I forgot to add the warranty to this phone as well. :(((( the phone works well enough just a minor annoyance.
409,Wife loves this phone and me too. The only phone I like better is s20ultra. She got red and the finish is beautiful. Call quality stood out from previous phones as it is exceptionally loud n clear. Sounds like the people you're talking to are right in front of you
410,"The media could not be loaded.
                




   I really liked the packaging that the phone came in. Everything was wrapped, and sealed neatly. I would honestly get as much gigabytes as possible so your phone has enough space, and storage. I wasn’t sure if I should buy this phone because it is amazon renewed, but they did a great job. Battery life was perfect, screen and all is functional. Make sure you have a SIM card for the phone. The value is kind of expensive but it’s worth it, also the phone is fully unlocked and that is very important!. Thank you!"
411,"For the price, I expected the battery life to be better than 91%. Very disappointing and I feel like I was ripped off. Plus the charging brick and cord don’t match."
412,When activating the device with AT&T we found that the device had been reported lost/stolenThis device is now a brick
413,"If I didn’t know any differently I would have thought this was a brand new phone. Beautiful condition, completely full battery life.very happy with this purchase."
414,"Even though this was a refurbished phone it still looked like new. Works great and came with a 100% battery which was a biggie for us. Came with aftermarket accessories, but that's what the listing said it would have.  We are happy with our purchase."
415,The zero does not work
416,"I’ve had for about a month now and no complaints! Works like new and arrived with no scratches, dents or problems!"
417,"Love the phone, brand new conditions, I didn’t see any problems. Great battery life. Like I can be on 1% and still use my phone no problems. Came quickly. I bought the unlocked version and I have T-Mobile. I’ve had the phone for about a month no issues. T-Mobile was able to easily connect it with my old number. My only issue is that my google accounts keep asking me for my password. Not sure if that’s a phone issue or a gmail issue."
418,"Battery life was at 90% but, expected. Device is two years old. It looks flawless. No damage whatsoever. Renewed is the way to go. Save money and get a fully working device."
419,First one we got kept turning off. Return was painless but having to transfer data from old phone to new phone TWICE was a little inconvenient. Now satisfied.
420,"sin duda alguna ha sido una de las mejores compras que hecho Celular vino muy bien empaquetado traía un cargador y cubo para cargar muy bueno La condición de la batería es excelente yo creí que iba ser menos por ser reacondicionado pero tiene un 95% de batería  Y en la parte física del teléfono lo veo muy bien están muy bonitos tal vez tiene unos pequeños raspones y Rayones en la pantalla pero son casi nulos ,  Y si funcionó el desbloqueo de la banda así que sólo puedo decir que es la mejor compra que he hecho y que recomiendo mucho al comprador buyspring"
421,I took my new phone to the phone store to have my information transferred from  my old apple 6 plus...bought a screen protector and case for it...When the clerk was putting on the screen cover he noticed some scratches on the screen.. Very disappointing... He was almost done.. I have kept the phone because of all the time and effort and added expense..  MISS not having a button on the bottom... Wish one would receive a booklet when you make a purchase like this..
422,"I went from an IPhone6 to this phone.  After the culture/adjustment shock, I am loving it.  Ii received it  promptly and it was even better than described"
423,"I wouldnt pay more than $100 for this thing. They've obviously done a terrible job fixing whatever issue this phone had in the refurbishing process. The thing is so slow it crashes when scrolling through simple apps like Twitter or Instagram. Need to back up your photos? Forget it, impossible on this thing. Quite literally unusable for anything but calls. Absolute waste of money. DO NOT RECOMMEND THIS SELLER."
424,I have not had any problems whatsoever. There was not a single mark in this phone it looked brand new. So far it’s working fine
425,"Obvious scratch on camera. Not full unlocked, original carrier’s information inside and can not be deleted"
426,Bluetooth doesn’t work on the phone at all when I messaged the seller.  They did nothing to fix it.
427,Love the color and the phone is almost like new.  I ordered an XR before this and was not satisfied with its feature. Easy return and was able to purchase this one. Great quality.  Great battery life.  Great camera.
428,When i received the Verizon 64 gigabyte version it could not be activated because it was a fraudulent device.
429,So far so good! I needed to upgrade my phone for awhile and postponed. This was such a. Great deal on a refurbished phone. A 36 month contract with a phone carrier to get a similar phone would have cost me double.
430,"I ordered my phone on wednesday and it came on friday. i love it. i set it up checked all the important things like system speed, speakers, flashlight, front and back camera and i even airdropped a picture to see how fast it would download, it works perfectly fine for now, i’ll try to update if anything happens. it doesn’t have any cracks or scratches. i would definitely recommend. i read the reviews and i was kinda scared but it turned out just fine. and i’ll also try to update with results of battery life."
431,Face recognition is not my favorite security. I need to take my glasses off to read my phone. Face recognition has me with glasses so I usually have use pin # anyway
432,I must say I’m quite impressed with this phone it looks brand new and works great very satisfied so far gonna keep using it of course and hopefully I won’t need to update this so far I’m quite impressed
433,Second time buying from this seller.Both times amazing!!!Thank you sooo much
434,"Shipped quickly, arrived in great condition with a screen protector already installed. Everything transferred from old phone and and all features work correctly. Battery life is 100% , this is the 2nd one I’ve ordered and both are still working perfectly!"
435,"The phone came in great condition. The only dent or scratch was on the screen and it’s nail thin and very hard to even spot. The battery health is 81% which is definitely on the lower end, but the battery last a good amount of time before I have to recharge the phone. I would recommend others to purchase as well."
436,This is the second one of these that I bought best price just like a new phone battery is 100% everything works on this phone we’re really happy with them
437,"We were worried but honestly it is so working GREAT. Even the transfer of all our apps, Contacts, Notes, etc were VERY easy to transfer.So far so good."
438,"I’ll admit I was very skeptical about buying a phone off Amazon, but as soon as I got the phone I was very impressed and super happy. It came two days after I purchased it which was amazing, it’s in perfect condition no cracks or scratches. Battery life is excellent and came with the charger and charging box, as well as a screen protector. I got the case separately. It Was supper easy to set up and is overall the best thing I have purchased on Amazon."
439,"I bought this and used it for about two years and recently gifted it to my daughter. It doesn’t act used, even after I used it. Battery life stays long as long as you don’t use with while charging but that’s any phone."
440,I only bought this because it was advertised as fully unlocked. Come to find out that it’s still locked to the previous carrier and now I have to spend more to unlock it so I can connect the phone.
441,"The media could not be loaded.
                




   The touch not working ...."
442,Phone did not work and started glitching immediately then froze. Was a bday present for my daughter. Thankfully Amazon let us return for full refund. Buyer beware!
443,"The main reason I was upgrading my phone was for the nicer camera. Unfortunately the camera wouldn't focus and made a loud clicking noise whenever the camera app was open. Returned, and hoping to have better luck next time"
444,"So I was very skeptic , I never had bought a phone from amazon, but seriously loved it, I got the phone in a usps box with charger, but the phone is like new, so far it’s been 5 days and the phone is just working fine, so happy for the purchase looking forward on getting pro for my sister from them next month"
445,"I bought this phone less than a year ago and it mysteriously stopped working for no reason! Even the Verizon guy was perplexed. If you just want a phone for a short time, go for it, otherwise look elsewhere."
446,I had the iphone 7 that started to show signs of failure. I wanted a bigger screen and an upgraded camera but didn't want to pay the $1000 plus dollars for it. I found this phone and pulled the trigger. I'm always worried about possible issues when spending this kind of money. I'm happy to say the phone is working great after 4 months. The camera is fantastic and shots with low light is no longer a problem. I use the phone with strava so it gets good use while I'm cycling. I'll buy another iphone from this seller when the time comes.
447,"The phone is almost brand new! Battery health up to 91%, only a few ( around 4 tiny specks) scratches, unlocked (im in latinamerica), with working faceID, speakers etc. AMAZING purchase!"
448,"I bought this for my husband’s birthday in August. He loves it, the phone works just as good as mine that I paid double the price for. It was a good buy"
449,"This phone was not having a great battery life as expected or reviewed others, maybe renewed compromise. Display was not that great, had some wear and tear. But features of Iphone 11 are all functional. Had to return but its almost more than 2 weeks, I have not received  the refund of it."
450,Did not have the battery renewed was below 90%. Everything else was fine.
451,"My biggest disappointment was the battery life. It came at 86% and by the time I downloaded the IOS 15 update it went down to 81% 👎 Was hard for the phone to keep charge after that. Cosmeticaly the phone didnt't have scratches or dents but it could have been cleaner, such as the ear piece and speakers. I tired to clean it but wasn't so successful. Thought the seller I choose would have been a better purchase for me as they had so much 5 stars...guess not"
452,Phone stopped working after 2 days of use. Took to Apple Store and was basically told it wasn’t even an iPhone. It has android phone parts on the inside.
453,I bought this to replace one my daughter had at college. The price was excellent and the features are good. It was easy to go to Verizon and have it set up.
454,Screen broke (not cracked~shakes and is unusable and is not due to use) literally less than a month after the 90 day warranty. Don't buy!
455,Received a dead phone. Won’t even charge. Returned and looking elsewhere
456,"The media could not be loaded.
                




   Ni parece nuevo ni funciona como nuevo. El equipo estaba muy sucio en las bocinas de audio  y en el pin de carga, aparte estaba completamente maltratado!! Golpeado y rayado de tal manera que se ve cómo perdió la pintura. De batería un 80%"
457,The phone works great! It was fully unlocked. I have had no trouble setting it up. I highly recommend. The price is great for the phone. It works like n new phone. The Face ID works great. There was no starches. It is is good shape. The batter life was at 86. Which is great for a used phone. The shipping was packed very well. It came with a charger & a screen protector. It also came with a thing to take your sims card out which is great.
458,I’m IN LOVE with this phone and the fact that it’s like brand new and unlocked just made it better for me. Seriously it was like buying a brand spanking new iPhone for a much lower price. The camera quality is why I wanted this phone to begin with but everything else just makes the phone so great. I’m very happy!
459,"The phone was amazing honestly, it came early and was very easy to setup. Battery life isn’t all the way full but it’s ok, it came with a screen protector on it with a couple of scratches wasn’t visible at first but it’s ok again. Had no possible issues so far and hoping for the rest of time until I have a new phone! Was very nervous of buying at first but glad I did it! Went from iPhone 7 Plus to iPhone 11 glad for the upgrade."
460,Llegó perfecto un familiar pidió un iPhone X en otro lugar y no le llegó bien no le encendía por lo que me dio miedo pedir en Amazon pero me decidí arriesgar y si que valió la pena me llegó perfecto y sin ni un rasguño encendió y todo mi único inconveniente es la batería que está en el 89 número que no es malo pero esperaba que fuese mayor ya que a algunos les llegó al 100 pero dejando eso de lado está perfecto muy recomendable.
461,Oh well.The phone works great.  no problems.  would have preferred to get brand new....  Pd $700...  if I'd only known then What I know now...  July 9 - Sept. 9.....  2 months and I could've gotten brand new from my cellular provider for $590
462,"I was kind of skeptical at first to buy it, I know amazon it’s quality, but read some experiences that went wrong and I was scared it was going to be the same for me, but I took the chance and I have 0 regrets. I got the phone in nearly mint condition, I cannot see any scratches, the battery is at 100% and the face ID works just fine. Have been with my new phone for 2 weeks and everything works perfect. I love it and I loved the price and it came with a screen protector installed and all. 100% worth my money, helping the planet and saving some money."
